LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5
Sperm whale,Physeter catodon,pcatodon,ASM283717v2,"GO:MF, GO:CC, GO:BP, HP"
Atlantic herring,Clupea harengus,charengus,Ch_v2.0.2,"GO:MF, GO:CC, GO:BP, HP"
Eastern brown snake,Pseudonaja textilis,ptextilis,EBS10Xv2-PRI,"GO:MF, GO:CC, GO:BP, HP"
Donkey,Equus asinus asinus,eaasinus,ASM303372v1,"GO:MF, GO:CC, GO:BP, HP"
Goldfish,Carassius auratus,cauratus,ASM336829v1,"GO:MF, GO:CC, GO:BP, HP"
Channel catfish,Ictalurus punctatus,ipunctatus,IpCoco_1.2,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Large yellow croaker,Larimichthys crocea,lcrocea,L_crocea_2.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Paramormyrops kingsleyae,Paramormyrops kingsleyae,pkingsleyae,PKINGS_0.1,"GO:MF, GO:CC, GO:BP, HP"
Bonobo,Pan paniscus,ppaniscus,panpan1.1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Alpaca,Vicugna pacos,vpacos,vicPac1,"GO:MF, GO:CC, GO:BP, HP"
Yarkand deer,Cervus hanglu yarkandensis,chyarkandensis,CEY_v1,"GO:MF, GO:CC, GO:BP, HP"
Chinook salmon,Oncorhynchus tshawytscha,otshawytscha,Otsh_v1.0,"GO:MF, GO:CC, GO:BP, HP"
Vervet-AGM,Chlorocebus sabaeus,csabaeus,ChlSab1.1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
C.intestinalis,Ciona intestinalis,cintestinalis,KH,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Spiny chromis,Acanthochromis polyacanthus,apolyacanthus,ASM210954v1,"GO:MF, GO:CC, GO:BP, HP"
Crab-eating macaque,Macaca fascicularis,mfascicularis,Macaca_fascicularis_6.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Medium ground-finch,Geospiza fortis,gfortis,GeoFor_1.0,"GO:MF, GO:CC, GO:BP, HP"
Argentine black and white tegu,Salvator merianae,smerianae,HLtupMer3,"GO:MF, GO:CC, GO:BP, HP"
Chimpanzee,Pan troglodytes,ptroglodytes,Pan_tro_3.0,"GO:MF, GO:CC, GO:BP, KEGG, TF, HP, WP"
Kakapo,Strigops habroptila,shabroptila,bStrHab1_v1.p,"GO:MF, GO:CC, GO:BP, HP"
Greater bamboo lemur,Prolemur simus,psimus,Prosim_1.0,"GO:MF, GO:CC, GO:BP, HP"
Cow,Bos taurus,btaurus,ARS-UCD1.2,"GO:MF, GO:CC, GO:BP, KEGG, REAC, MIRNA, CORUM, HP, WP"
Saccharomyces cerevisiae,Saccharomyces cerevisiae,scerevisiae,R64-1-1,"GO:MF, GO:CC, GO:BP, KEGG, TF, HP, WP"
Pike-perch,Sander lucioperca,slucioperca,SLUC_FBN_1,"GO:MF, GO:CC, GO:BP, HP"
Clown anemonefish,Amphiprion ocellaris,aocellaris,AmpOce1.0,"GO:MF, GO:CC, GO:BP, HP"
Sheep (texel),Ovis aries,oaries,Oar_v3.1,"GO:MF, GO:CC, GO:BP, KEGG, MIRNA"
European seabass,Dicentrarchus labrax,dlabrax,seabass_V1.0,"GO:MF, GO:CC, GO:BP, HP"
Golden Hamster,Mesocricetus auratus,mauratus,MesAur1.0,"GO:MF, GO:CC, GO:BP, HP"
Northern American deer mouse,Peromyscus maniculatus bairdii,pmbairdii,HU_Pman_2.1,"GO:MF, GO:CC, GO:BP, HP"
Domestic yak,Bos grunniens,bgrunniens,LU_Bosgru_v3.0,"GO:MF, GO:CC, GO:BP, HP"
Blue-ringed sea krait,Laticauda laticaudata,llaticaudata,latLat_1.0,"GO:MF, GO:CC, GO:BP, HP"
Golden snub-nosed monkey,Rhinopithecus roxellana,rroxellana,Rrox_v1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Mummichog,Fundulus heteroclitus,fheteroclitus,Fundulus_heteroclitus-3.0.2,"GO:MF, GO:CC, GO:BP, HP"
Fugu,Takifugu rubripes,trubripes,fTakRub1.2,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Channel bull blenny,Cottoperca gobio,cgobio,fCotGob3.1,"GO:MF, GO:CC, GO:BP, HP"
Mangrove rivulus,Kryptolebias marmoratus,kmarmoratus,ASM164957v1,"GO:MF, GO:CC, GO:BP, HP"
Spotted gar,Lepisosteus oculatus,loculatus,LepOcu1,"GO:MF, GO:CC, GO:BP, HP"
Common carp,Cyprinus carpio,ccarpio,common_carp_genome,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Cat,Felis catus,fcatus,Felis_catus_9.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Tetraodon,Tetraodon nigroviridis,tnigroviridis,TETRAODON 8.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Polar bear,Ursus maritimus,umaritimus,UrsMar_1.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Platyfish,Xiphophorus maculatus,xmaculatus,X_maculatus-5.0-male,"GO:MF, GO:CC, GO:BP, HP"
Pig-tailed macaque,Macaca nemestrina,mnemestrina,Mnem_1.0,"GO:MF, GO:CC, GO:BP, HP"
Bushbaby,Otolemur garnettii,ogarnettii,OtoGar3,"GO:MF, GO:CC, GO:BP, HP"
Turkey,Meleagris gallopavo,mgallopavo,Turkey_5.1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Amazon molly,Poecilia formosa,pformosa,Poecilia_formosa-5.1.2,"GO:MF, GO:CC, GO:BP, HP"
Rat,Rattus norvegicus,rnorvegicus,Rnor_6.0,"GO:MF, GO:CC, GO:BP, KEGG, REAC, TF, MIRNA, CORUM, HP, WP"
Electric eel,Electrophorus electricus,eelectricus,Ee_SOAP_WITH_SSPACE,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Pinecone soldierfish,Myripristis murdjan,mmurdjan,fMyrMur1.1,"GO:MF, GO:CC, GO:BP, HP"
Guppy,Poecilia reticulata,preticulata,Guppy_female_1.0_MT,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Microbat,Myotis lucifugus,mlucifugus,Myoluc2.0,"GO:MF, GO:CC, GO:BP, HP"
Platypus,Ornithorhynchus anatinus,oanatinus,mOrnAna1.p.v1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Megabat,Pteropus vampyrus,pvampyrus,pteVam1,"GO:MF, GO:CC, GO:BP, HP"
Algerian mouse,Mus spretus,mspretus,SPRET_EiJ_v1,"GO:MF, GO:CC, GO:BP, HP"
Long-tailed chinchilla,Chinchilla lanigera,clanigera,ChiLan1.0,"GO:MF, GO:CC, GO:BP, HP"
Elephant,Loxodonta africana,lafricana,Loxafr3.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Makobe Island cichlid,Pundamilia nyererei,pnyererei,PunNye1.0,"GO:MF, GO:CC, GO:BP, HP"
Coho salmon,Oncorhynchus kisutch,okisutch,Okis_V2,"GO:MF, GO:CC, GO:BP, HP"
Bicolor damselfish,Stegastes partitus,spartitus,Stegastes_partitus-1.0.2,"GO:MF, GO:CC, GO:BP, HP"
Horse,Equus caballus,ecaballus,EquCab3.0,"GO:MF, GO:CC, GO:BP, KEGG, HP, WP"
Olive baboon,Papio anubis,panubis,Panu_3.0,"GO:MF, GO:CC, GO:BP, HP"
Drill,Mandrillus leucophaeus,mleucophaeus,Mleu.le_1.0,"GO:MF, GO:CC, GO:BP, HP"
Japanese quail,Coturnix japonica,cjaponica,Coturnix_japonica_2.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Degu,Octodon degus,odegus,OctDeg1.0,"GO:MF, GO:CC, GO:BP, HP"
Drosophila melanogaster,Drosophila melanogaster,dmelanogaster,BDGP6.32,"GO:MF, GO:CC, GO:BP, KEGG, TF, MIRNA, HP, WP"
Atlantic cod,Gadus morhua,gmorhua,gadMor3.0,"GO:MF, GO:CC, GO:BP, HP"
Koala,Phascolarctos cinereus,pcinereus,phaCin_unsw_v4.1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Red-bellied piranha,Pygocentrus nattereri,pnattereri,Pygocentrus_nattereri-1.0.2,"GO:MF, GO:CC, GO:BP, HP"
Abingdon island giant tortoise,Chelonoidis abingdonii,cabingdonii,ASM359739v1,"GO:MF, GO:CC, GO:BP, HP"
Steppe mouse,Mus spicilegus,mspicilegus,MUSP714,"GO:MF, GO:CC, GO:BP, HP"
Nile tilapia,Oreochromis niloticus,oniloticus,O_niloticus_UMD_NMBU,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Stickleback,Gasterosteus aculeatus,gaculeatus,BROAD S1,"GO:MF, GO:CC, GO:BP, HP"
Tasmanian devil,Sarcophilus harrisii,sharrisii,mSarHar1.11,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Zig-zag eel,Mastacembelus armatus,marmatus,fMasArm1.2,"GO:MF, GO:CC, GO:BP, HP"
Armadillo,Dasypus novemcinctus,dnovemcinctus,Dasnov3.0,"GO:MF, GO:CC, GO:BP, HP"
Ferret,Mustela putorius furo,mpfuro,MusPutFur1.0,"GO:MF, GO:CC, GO:BP, HP"
Denticle herring,Denticeps clupeoides,dclupeoides,fDenClu1.1,"GO:MF, GO:CC, GO:BP, HP"
Lion,Panthera leo,pleo,PanLeo1.0,"GO:MF, GO:CC, GO:BP, HP"
Mainland tiger snake,Notechis scutatus,nscutatus,TS10Xv2-PRI,"GO:MF, GO:CC, GO:BP, HP"
Opossum,Monodelphis domestica,mdomestica,ASM229v1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Mouse,Mus musculus,mmusculus,GRCm39,"GO:MF, GO:CC, GO:BP, KEGG, REAC, TF, MIRNA, CORUM, HP, WP"
Yarrowia lipolytica,Yarrowia lipolytica CLIB122,ylipolytica,ASM252v1,"GO:MF, GO:CC, GO:BP, KEGG"
Colletotrichum orbiculare,Colletotrichum orbiculare MAFF 240422,corbiculare,Corbiculare240422v01,"GO:MF, GO:CC, GO:BP"
Beauveria bassiana,Beauveria bassiana,bbassiana,ASM168263v1,"GO:MF, GO:CC, GO:BP"
Aspergillus fumigatus A1163,Aspergillus fumigatus A1163,afumigatusa1163,ASM15014v1,"GO:MF, GO:CC, GO:BP"
Aspergillus niger,Aspergillus niger,aniger,ASM285v2,"GO:MF, GO:CC, GO:BP"
Dothistroma septosporum,Dothistroma septosporum NZE10,dseptosporum,Dothistroma septosporum NZE10 v1.0,"GO:MF, GO:CC, GO:BP"
Aspergillus nidulans,Aspergillus nidulans FGSC A4,anidulans,ASM1142v1,"GO:MF, GO:CC, GO:BP, KEGG"
Schizosaccharomyces japonicus,Schizosaccharomyces japonicus yFS275,sjaponicus,SJ5,"GO:MF, GO:CC, GO:BP"
Aspergillus fischeri NRRL 181,Aspergillus fischeri NRRL 181,nfischeri,ASM14964v1,"GO:MF, GO:CC, GO:BP, KEGG"
Puccinia graminis,Puccinia graminis f. sp. tritici CRL 75-36-700-3,pgraminis,ASM14992v1,"GO:MF, GO:CC, GO:BP, KEGG"
Fusarium solani,Fusarium vanettenii 77-13-4,fsolani,v2.0,"GO:MF, GO:CC, GO:BP, KEGG"
Microbotryum violaceum,Microbotryum lychnidis-dioicae p1A1 Lamole,mviolaceum,M_violaceum_V1,"GO:MF, GO:CC, GO:BP"
Komagataella pastoris,Komagataella phaffii GS115,kpastoris,ASM2700v1,"GO:MF, GO:CC, GO:BP, KEGG"
Cryptococcus neoformans var. neoformans JEC21,Cryptococcus neoformans var. neoformans JEC21,cneoformans,ASM9104v1,"GO:MF, GO:CC, GO:BP, KEGG"
Colletotrichum higginsianum,Colletotrichum higginsianum,chigginsianum,ASM31379v2,"GO:MF, GO:CC, GO:BP"
Blumeria graminis,Blumeria graminis f. sp. hordei DH14,bgraminis,EF2,"GO:MF, GO:CC, GO:BP"
Puccinia graminis Ug99,Puccinia graminis f. sp. tritici 04KEN156/4,pgraminisug99,v1,"GO:MF, GO:CC, GO:BP"
Neurospora crassa,Neurospora crassa OR74A,ncrassa,NC12,"GO:MF, GO:CC, GO:BP, KEGG"
Schizosaccharomyces pombe,Schizosaccharomyces pombe 972h-,spombe,ASM294v2,"GO:MF, GO:CC, GO:BP, KEGG"
Tuber melanosporum,Tuber melanosporum Mel28,tmelanosporum,ASM15164v1,"GO:MF, GO:CC, GO:BP, KEGG"
Aspergillus terreus NIH2624,Aspergillus terreus NIH2624,aterreus,ASM14961v1,"GO:MF, GO:CC, GO:BP"
Fusarium fujikuroi,Fusarium fujikuroi,ffujikuroi,EF 1,"GO:MF, GO:CC, GO:BP"
Phaeosphaeria nodorum,Parastagonospora nodorum SN15,pnodorum,ASM14691v1,"GO:MF, GO:CC, GO:BP, KEGG"
Aspergillus oryzae RIB40,Aspergillus oryzae RIB40,aoryzae,ASM18445v3,"GO:MF, GO:CC, GO:BP, KEGG"
Puccinia striiformis f. sp. tritici PST-130 str. Race 130,Puccinia striiformis f. sp. tritici PST-130,pstriiformis,PST-130_1.0,"GO:MF, GO:CC, GO:BP"
Pyrenophora teres,Pyrenophora teres f. teres 0-1,pteres,PyrTer_1.0,"GO:MF, GO:CC, GO:BP, KEGG"
Verticillium dahliae,Verticillium dahliae VdLs.17,vdahliae,ASM15067v2,"GO:MF, GO:CC, GO:BP, KEGG"
Sporisorium reilianum,Sporisorium reilianum SRZ2,sreilianum,ASM23024v1,"GO:MF, GO:CC, GO:BP"
